repository,version,ncloc,complexity,comments,duplication,test_success,fast_tests,coverage,code_quality,testing_status,Maintainability,Reliability,total,build_stability,task_completion,well_defined_issues,issues_total,issues_open,issues_closed,runs_total,runs_completed,runs_success,runs_failed
fga-eps-mds-2026-1-AnatoQuizUp-AI,N/A,,,,,,,,,,,,,,,,,,,,,,
fga-eps-mds-2026-1-AnatoQuizUp-BFF,05-24-2026-23-58-55,2023.0,0.5217391304347826,0.0,1.0,0.0,1.0,1.0,0.5021739130434782,0.75,0.2510869565217391,0.375,0.6260869565217391,0.5254237288135594,0.5161290322580645,0.8064516129032258,31.0,15.0,16.0,61.0,59.0,31.0,28.0
fga-eps-mds-2026-1-AnatoQuizUp-Quiz-Service,05-25-2026-01-07-29,15070.0,0.8048780487804879,0.0,1.0,0.0,1.0,0.7560975609756098,0.5956097560975611,0.6280487804878049,0.29780487804878053,0.31402439024390244,0.6118292682926829,0.6226415094339622,0.5161290322580645,0.8064516129032258,31.0,15.0,16.0,55.0,53.0,33.0,19.0
fga-eps-mds-2026-1-AnatoQuizUp-Usuario-Service,05-25-2026-01-21-52,16797.0,0.9782608695652174,0.0,0.9565217391304348,0.0,1.0,1.0,0.6384782608695653,0.75,0.31923913043478264,0.375,0.6942391304347826,0.7109375,0.5161290322580645,0.8064516129032258,31.0,15.0,16.0,130.0,128.0,91.0,37.0
fga-eps-mds-2026-1-AnatoQuizUp-Web,05-25-2026-02-47-24,42238.0,0.9315068493150684,0.0136986301369863,0.9452054794520548,0.0,1.0,1.0,0.6238356164383562,0.75,0.3119178082191781,0.375,0.686917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
