repository,datetime,version,ncloc,complexity,comments,duplication,test_success,fast_tests,coverage,code_quality,testing_status,Maintainability,Reliability,total
fga-eps-mds-2026_1_UNB-AnatoQuizUp-API,04-01-2026-00-00-00,v0.0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.165,0.0,0.165
fga-eps-mds-2026_1_UNB-AnatoQuizUp-API,04-10-2026-00-00-00,v0.0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.165,0.0,0.165
fga-eps-mds-2026_1_UNB-AnatoQuizUp-API,04-27-2026-02-33-15,v1.0.0,3082.0,0.8158227848101266,0.0,1.0,0.0,0.0,0.963,0.5992215189873418,0.4815,0.2996107594936709,0.24075,0.5403607594936709
fga-eps-mds-2026_1_UNB-AnatoQuizUp-WEB,04-01-2026-04-01-00,v0.0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.165,0.0,0.165
fga-eps-mds-2026_1_UNB-AnatoQuizUp-WEB,04-10-2026-00-00-00,v0.0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.165,0.0,0.165
fga-eps-mds-2026_1_UNB-AnatoQuizUp-WEB,04-27-2026-02-16-43,v0.0.0,2561.0,0.7439024390243902,0.0,1.0,0.0,0.0,0.858,0.5754878048780487,0.429,0.28774390243902437,0.2145,0.5022439024390244
